ip	hostname	city	region	country	loc	org	postal	timezone
102.176.107.98		Mandela	Greater Accra	GH	5.5522,-0.3391	AS29614 Ghana Telecommunications Company Limited		Africa/Accra
102.216.212.171		Accra	Greater Accra	GH	5.5560,-0.1969	AS329009 Spectrum Internet Service Ltd		Africa/Accra
154.160.14.154	dyn-as-gpon-154-160-14-154.mtn.com.gh	Accra	Greater Accra	GH	5.5560,-0.1969	AS30986 Scancom Limited		Africa/Accra
154.160.14.162	dyn-as-gpon-154-160-14-162.mtn.com.gh	Accra	Greater Accra	GH	5.5560,-0.1969	AS30986 Scancom Limited		Africa/Accra
154.160.14.28	dyn-as-gpon-154-160-14-28.mtn.com.gh	Accra	Greater Accra	GH	5.5560,-0.1969	AS30986 Scancom Limited		Africa/Accra
102.213.69.4		Addis Ababa	Addis Ababa	ET	9.0250,38.7469	AS328988 SAFARICOM TELECOMMUNICATIONS ETHIOPIA PLC		Africa/Addis_Ababa
196.188.138.233		Addis Ababa	Addis Ababa	ET	9.0250,38.7469	AS24757 Ethio Telecom		Africa/Addis_Ababa
196.188.224.178		Addis Ababa	Addis Ababa	ET	9.0250,38.7469	AS24757 Ethio Telecom		Africa/Addis_Ababa
196.189.11.209		Addis Ababa	Addis Ababa	ET	9.0250,38.7469	AS24757 Ethio Telecom		Africa/Addis_Ababa
196.189.152.169		Addis Ababa	Addis Ababa	ET	9.0250,38.7469	AS24757 Ethio Telecom		Africa/Addis_Ababa
196.189.152.50		Addis Ababa	Addis Ababa	ET	9.0250,38.7469	AS24757 Ethio Telecom		Africa/Addis_Ababa
196.189.16.155		Addis Ababa	Addis Ababa	ET	9.0250,38.7469	AS24757 Ethio Telecom		Africa/Addis_Ababa
196.189.245.222		Nazrēt	Oromiya	ET	8.5500,39.2667	AS24757 Ethio Telecom		Africa/Addis_Ababa
196.190.88.241		Dessie	Amhara	ET	11.1333,39.6333	AS24757 Ethio Telecom		Africa/Addis_Ababa
196.191.121.207		Jimma	Oromiya	ET	7.6734,36.8344	AS24757 Ethio Telecom		Africa/Addis_Ababa
196.191.156.149		Gambēla	Gambela	ET	8.2500,34.5833	AS24757 Ethio Telecom		Africa/Addis_Ababa
213.55.96.150		Addis Ababa	Addis Ababa	ET	9.0250,38.7469	AS24757 Ethio Telecom		Africa/Addis_Ababa
213.55.96.154		Addis Ababa	Addis Ababa	ET	9.0250,38.7469	AS24757 Ethio Telecom		Africa/Addis_Ababa
105.98.115.207		Birkhadem	Algiers	DZ	36.7150,3.0500	AS36947 Telecom Algeria	16029	Africa/Algiers
129.45.115.2		Constantine	Constantine	DZ	36.3650,6.6147	AS327931 Optimum Telecom Algeria	04011	Africa/Algiers
154.247.174.92		Sétif	Sétif	DZ	36.1911,5.4137	AS36947 Telecom Algeria	19034	Africa/Algiers
154.248.76.141		Oran	Oran	DZ	35.6991,-0.6359	AS36947 Telecom Algeria	31000	Africa/Algiers
197.205.226.143		El Oued	El Oued	DZ	33.3561,6.8632	AS36947 Telecom Algeria	39006	Africa/Algiers
197.206.159.149		El Oued	El Oued	DZ	33.3561,6.8632	AS36947 Telecom Algeria	39006	Africa/Algiers
41.104.54.226		El Oued	El Oued	DZ	33.3561,6.8632	AS36947 Telecom Algeria	39006	Africa/Algiers
41.111.178.66		Constantine	Constantine	DZ	36.3650,6.6147	AS36947 Telecom Algeria	04011	Africa/Algiers
41.201.225.118		Béchar	Béchar	DZ	31.6167,-2.2167	AS36947 Telecom Algeria	08004	Africa/Algiers
197.155.155.5		Bamako	Bamako	ML	12.6091,-7.9752	AS30985 Orange Mali SA		Africa/Bamako
41.70.100.6		Mzuzu	Northern Region	MW	-11.4656,34.0207	AS37215 Malawi Research and Education Network - MAREN	105214	Africa/Blantyre
102.41.30.66		Alexandria	Alexandria	EG	31.2018,29.9158	AS8452 TE-AS		Africa/Cairo
154.177.233.233		Giza	Giza	EG	30.0094,31.2086	AS8452 TE-AS		Africa/Cairo
156.205.225.78		Al-'Ubūr	Qalyubia	EG	30.2289,31.4815	AS8452 TE-AS		Africa/Cairo
197.32.135.183		Shirbīn	Dakahlia	EG	31.1969,31.5243	AS8452 TE-AS		Africa/Cairo
41.38.19.185		Shibīn al Kawm	Monufia	EG	30.5526,31.0090	AS8452 TE-AS		Africa/Cairo
102.50.246.167		Casablanca	Casablanca-Settat	MA	33.5883,-7.6114	AS6713 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM	29640	Africa/Casablanca
105.158.186.176		Tangier	Tanger-Tetouan-Al Hoceima	MA	35.7673,-5.7998	AS36903 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM	90052	Africa/Casablanca
